Date,OPEC Oil Production (Mb/d)
1987-01,16.03
1987-02,15.6
1987-03,15.098
1987-04,15.773
1987-05,16.408
1987-06,16.854
1987-07,18.376
1987-08,19.216
1987-09,18.348
1987-10,18.447
1987-11,17.931
1987-12,17.948
1988-01,17.06
1988-02,16.969
1988-03,17.238
1988-04,17.763
1988-05,17.725
1988-06,18.032
1988-07,18.122
1988-08,19.372
1988-09,20.047
1988-10,21.189
1988-11,21.785
1988-12,21.951
1989-01,19.175
1989-02,18.997
1989-03,19.398
1989-04,20.038
1989-05,20.061
1989-06,20.615
1989-07,20.701
1989-08,21.139
1989-09,21.27
1989-10,21.615
1989-11,22.337
1989-12,22.524
1990-01,21.764
1990-02,22.451
1990-03,22.645
1990-04,22.586
1990-05,22.427
1990-06,22.195
1990-07,22.44
1990-08,18.792
1990-09,20.994
1990-10,21.018
1990-11,21.752
1990-12,22.204
1991-01,21.45
1991-02,21.325
1991-03,21.175
1991-04,20.635
1991-05,20.593
1991-06,21.365
1991-07,21.93
1991-08,21.999
1991-09,21.981
1991-10,22.214
1991-11,22.486
1991-12,22.944
1992-01,22.323
1992-02,22.235
1992-03,21.307
1992-04,21.181
1992-05,21.638
1992-06,21.674
1992-07,21.779
1992-08,22.216
1992-09,22.613
1992-10,22.884
1992-11,22.916
1992-12,23.059
1993-01,23.251
1993-02,23.524
1993-03,22.457
1993-04,22.247
1993-05,22.295
1993-06,22.348
1993-07,22.723
1993-08,22.577
1993-09,22.966
1993-10,22.825
1993-11,22.972
1993-12,22.923
1994-01,23.418757
1994-02,23.391279
1994-03,23.331192
1994-04,23.289166
1994-05,23.35734
1994-06,23.394203
1994-07,23.334514
1994-08,22.955182
1994-09,23.447732
1994-10,23.595387
1994-11,23.558409
1994-12,23.574804
1995-01,23.611916
1995-02,23.768374
1995-03,23.563949
1995-04,23.721411
1995-05,23.877669
1995-06,23.75625
1995-07,23.935791
1995-08,24.070175
1995-09,23.956703
1995-10,23.997814
1995-11,24.037632
1995-12,24.054138
1996-01,24.155538
1996-02,24.281907
1996-03,24.233419
1996-04,24.129473
1996-05,23.814133
1996-06,24.029891
1996-07,24.250164
1996-08,24.514778
1996-09,24.456727
1996-10,24.544918
1996-11,24.632923
1996-12,25.0151
1997-01,25.434496
1997-02,25.397709
1997-03,25.189351
1997-04,25.674934
1997-05,25.320185
1997-06,24.804
1997-07,24.946068
1997-08,25.94
1997-09,25.956
1997-10,26.5405
1997-11,26.159
1997-12,25.845
1998-01,26.5095
1998-02,27.1305
1998-03,27.1745
1998-04,26.8541
1998-05,26.7653
1998-06,26.5175
1998-07,26.2285
1998-08,25.6795
1998-09,25.7235
1998-10,25.9215
1998-11,26.034197
